id,fecha,titulo,descripcion,tipo,fuente,fuente_url,legal_status,candidato_afectado,direccion,motif_primary,frame,emocion,dimension_impacto,region,intensidad,credibilidad,riesgo_desinformacion,canales_probables,perfiles_relevantes,resumen_para_agente,fecha_corte,source_strict,source_category,ownership_type,geographic_scope,candidate_scope,observation_role,event_cluster_id,event_cluster_size,source_class_balance_weight,model_sampling_weight,engagement_likes,engagement_reposts,engagement_comments,engagement_views,engagement_status
S029,2026-06-06,Noticias RCN reporta nuevo cruce por debate entre Cepeda y De la Espriella,Noticias RCN reporta nuevo cruce por debate entre Cepeda y De la Espriella,debate_presidencial,Noticias RCN,https://www.noticiasrcn.com/colombia/habra-debate-entre-ivan-cepeda-y-abelardo-de-la-espriella-1028576,hecho_reportado,AMBOS,mixta,cruce_debate,confrontacion_publica,tension,rendicion_cuentas,Nacional,0.72,0.82,0.18,prensa_digital|television|radio|whatsapp|facebook,todos,Noticias RCN reporta nuevo cruce por debate entre Cepeda y De la Espriella,2026-06-19,True,television,privado,nacional,AMBOS,canonical_signal,EVT-d15dbac4cd,1,0.589744,0.589744,,,,,not_applicable
S070,2026-06-06,Infobae reporta documentos sobre presunta coacción electoral de disidencias de las Farc,"Infobae reporta documentos que hablarían de carnetización, censos comunitarios y exigencia de certificado electoral por disidencias. Se registra como denuncia/documentos reportados.",coaccion_electoral,Infobae,https://www.infobae.com/colombia/2026/06/06/documentos-respaldan-denuncias-de-coaccion-electoral-del-general-erick-rodriguez-aun-no-se-define-su-futuro/,documentos_reportados_no_verificados_en_modelo,AMBOS,mixta,coaccion_electoral_disidencias,auditoria_criminal_sufragio,miedo,territorio_rural,Territorios con disidencias / Rural,0.84,0.7,0.32,prensa_digital|television|radio|twitter_x|facebook|instagram|youtube|whatsapp,campesino_rural|territorios_conflicto|adulto_mayor_offline,Denuncias sobre control armado del voto pueden afectar confianza y participación en territorios rurales.,2026-06-19,True,prensa_privada,privado,nacional,AMBOS,canonical_signal,EVT-6dd52ff005,1,0.851852,0.851852,,,,,not_applicable
S030,2026-06-07,Cepeda reconoce oficialmente resultados de primera vuelta tras dudas previas,Cepeda reconoce oficialmente resultados de primera vuelta tras dudas previas,confianza_electoral,Noticias Caracol,https://www.noticiascaracol.com/politica/elecciones-colombia/ivan-cepeda-reconocio-los-resultados-de-la-primera-vuelta-presidencial-esto-dijo-rg10,declaracion_publica,Cepeda,positiva,reconocimiento_resultados,legitimidad_electoral,certeza,confianza_electoral,Nacional,0.76,0.88,0.12,prensa_digital|television|radio|whatsapp|facebook,todos,Cepeda reconoce oficialmente resultados de primera vuelta tras dudas previas,2026-06-19,True,television,privado,nacional,Cepeda,canonical_signal,EVT-ac8e5fe2c1,1,0.589744,0.589744,,,,,not_applicable
S031,2026-06-09,Televisión surcoreana destaca alianza de Cepeda con kpopers,Televisión surcoreana destaca alianza de Cepeda con kpopers,internacionalizacion_narrativa,Infobae,https://www.infobae.com/colombia/2026/06/09/la-television-de-corea-del-sur-destaco-la-alianza-de-ivan-cepeda-con-las-kpopers-se-unio-a-los-mensajes-sociales-para-intentar-revertir-el-resultado/,hecho_reportado,Cepeda,positiva,kpopers_proyeccion_internacional,fandom_global,orgullo,movilizacion_juvenil,Digital / Internacional,0.7,0.74,0.2,prensa_digital|television|radio|whatsapp|twitter_x|facebook|instagram|youtube,todos,Televisión surcoreana destaca alianza de Cepeda con kpopers,2026-06-19,True,prensa_privada,privado,nacional,Cepeda,canonical_signal,EVT-89384ba3b6,1,0.851852,0.851852,,,,,not_applicable
S032,2026-06-09,Juez ordena retirar publicidad de De la Espriella con bandera y frases de patria,Juez ordena retirar publicidad de De la Espriella con bandera y frases de patria,decision_judicial,Noticias Caracol,https://www.noticiascaracol.com/politica/elecciones-colombia/juez-ordena-a-de-la-espriella-retirar-publicidad-de-campana-donde-use-la-bandera-de-colombia-rg10,decision_judicial,De la Espriella,negativa,simbolos_patrios_firmes_patria,limites_publicidad_politica,controversia,legalidad,Nacional,0.86,0.88,0.12,prensa_digital|television|radio|whatsapp|facebook,todos,Juez ordena retirar publicidad de De la Espriella con bandera y frases de patria,2026-06-19,True,television,privado,nacional,De la Espriella,canonical_signal,EVT-705f5400a0,1,0.589744,0.589744,,,,,not_applicable
S033,2026-06-09,"De la Espriella responde a fallo sobre símbolos y pide a seguidores usar celular, camiseta y frase Firmes por la Patria","De la Espriella responde a fallo sobre símbolos y pide a seguidores usar celular, camiseta y frase Firmes por la Patria",respuesta_campana,La FM,https://www.lafm.com.co/politica/abelardo-de-la-espriella-responde-fallo-que-prohibe-uso-eslogan-campana-firme-por-la-patria-401819,declaracion_publica,De la Espriella,positiva,firmes_patria_respuesta_fallo,resistencia_campaña,indignacion,movilizacion_digital,Nacional / Digital,0.82,0.76,0.2,prensa_digital|television|radio|whatsapp|twitter_x|facebook|instagram|youtube,todos,"De la Espriella responde a fallo sobre símbolos y pide a seguidores usar celular, camiseta y frase Firmes por la Patria",2026-06-19,True,radio,privado,nacional,De la Espriella,canonical_signal,EVT-21a1671a37,1,0.793103,0.793103,,,,,not_applicable
S034,2026-06-09,Cepeda eleva tono contra De la Espriella y lo llama agresivo e irascible tras polémica del debate,Cepeda eleva tono contra De la Espriella y lo llama agresivo e irascible tras polémica del debate,ataque_campana,Infobae,https://www.infobae.com/colombia/2026/06/09/ivan-cepeda-elevo-el-tono-contra-abelardo-de-la-espriella-y-lo-tildo-de-agresivo-e-irascible-tras-polemica-por-el-debate-presidencial/,declaracion_publica,De la Espriella,negativa,agresivo_irascible,temperamento_presidencial,rechazo,imagen_candidato,Nacional / Digital,0.72,0.76,0.22,prensa_digital|television|radio|whatsapp|twitter_x|facebook|instagram|youtube,todos,Cepeda eleva tono contra De la Espriella y lo llama agresivo e irascible tras polémica del debate,2026-06-19,True,prensa_privada,privado,nacional,De la Espriella,canonical_signal,EVT-2b4e888b37,1,0.851852,0.851852,,,,,not_applicable
S080,2026-06-09,"Abelardo de la Espriella habla en 6AM/W sobre propuestas, contienda y segunda vuelta",Entrevista larga de Caracol Radio/W Radio a Abelardo de la Espriella sobre sus propuestas y la disputa contra Iván Cepeda.,entrevista_radio,Caracol Radio / 6AM W,https://caracol.com.co/2026/06/09/abelardo-de-la-espriella-habla-en-6am-w/,entrevista_candidato,De la Espriella,positiva,entrevista_6amw_abelardo,propuestas_y_liderazgo,evaluacion,entrevista_programatica,Nacional / Radio / Digital,0.78,0.86,0.12,radio|prensa_digital|youtube|whatsapp|facebook|twitter_x,adulto_redes|profesional_urbano|pequeno_empresario|adulto_mayor_offline,Entrevista larga de Caracol Radio/W Radio a Abelardo de la Espriella sobre sus propuestas y la disputa contra Iván Cepeda.,2026-06-19,True,radio,privado,nacional,De la Espriella,canonical_signal,EVT-20ab76022f,1,0.793103,0.793103,,,,,not_applicable
S081,2026-06-09,De la Espriella plantea fracking responsable y dice que no intervendrá páramos,"En 6AM/W, De la Espriella habló de fracking responsable, prometiendo no intervenir páramos ni saltarse normas ambientales.",entrevista_radio,Caracol Radio / 6AM W,https://caracol.com.co/2026/06/09/no-intervendre-paramos-ni-saltare-norma-ambiental-abelardo-de-la-espriella-sobre-el-fracking/,entrevista_candidato,De la Espriella,positiva,fracking_responsable,energia_ambiente,evaluacion,economia_ambiente,Nacional / Regiones petroleras / Ambiental,0.74,0.84,0.14,radio|prensa_digital|whatsapp|facebook|twitter_x,pequeno_empresario|profesional_urbano|trabajador_rebusque|territorios_petroleros,"En 6AM/W, De la Espriella habló de fracking responsable, prometiendo no intervenir páramos ni saltarse normas ambientales.",2026-06-19,True,radio,privado,nacional,De la Espriella,canonical_signal,EVT-e8fe92b555,1,0.793103,0.793103,,,,,not_applicable
S082,2026-06-09,Petro responde a De la Espriella tras entrevista en 6AM/W,Caracol reporta respuesta de Gustavo Petro a señalamientos hechos por De la Espriella en 6AM/W.,reaccion_gobierno,Caracol Radio,https://caracol.com.co/2026/06/09/petro-responde-a-abelardo-de-la-espriella-se-desdice-de-lo-que-ya-dijo/,declaracion_publica,AMBOS,mixta,petro_responde_abelardo,gobierno_vs_oposicion,polarizacion,polarizacion,Nacional / Digital,0.76,0.82,0.18,radio|prensa_digital|twitter_x|facebook|whatsapp,todos,Caracol reporta respuesta de Gustavo Petro a señalamientos hechos por De la Espriella en 6AM/W.,2026-06-19,True,radio,privado,nacional,AMBOS,canonical_signal,EVT-0bfbbde886,1,0.793103,0.793103,,,,,not_applicable
S035,2026-06-10,AtlasIntel muestra a De la Espriella casi ocho puntos arriba de Cepeda,AtlasIntel muestra a De la Espriella casi ocho puntos arriba de Cepeda,encuesta_publicada,La Silla Vacía / AtlasIntel,https://www.lasillavacia.com/en-vivo/atlas-intel-para-segunda-vuelta-abelardo-le-lleva-casi-8-puntos-a-cepeda/,encuesta_publicada_por_tercero,De la Espriella,positiva,atlas_ventaja_ocho_puntos,momentum_encuestas,confianza,efecto_ganador,Nacional,0.82,0.78,0.2,prensa_digital|television|radio|whatsapp|facebook,todos,AtlasIntel muestra a De la Espriella casi ocho puntos arriba de Cepeda,2026-06-19,True,alternativo_investigativo,independiente,nacional,De la Espriella,canonical_signal,EVT-a92582350d,1,1.642857,1.642857,,,,,not_applicable
S083,2026-06-10,Iván Cepeda habla en 6AM/W sobre propuestas y segunda vuelta,"Entrevista larga de Caracol Radio/W Radio a Iván Cepeda sobre sus propuestas, segunda vuelta y estrategia de campaña.",entrevista_radio,Caracol Radio / 6AM W,https://caracol.com.co/2026/06/10/ivan-cepeda-habla-en-6am-w/,entrevista_candidato,Cepeda,positiva,entrevista_6amw_cepeda,propuestas_y_moderacion,evaluacion,entrevista_programatica,Nacional / Radio / Digital,0.78,0.86,0.12,radio|prensa_digital|youtube|whatsapp|facebook|twitter_x,profesional_urbano|joven_digital|adulto_redes|voto_centro,"Entrevista larga de Caracol Radio/W Radio a Iván Cepeda sobre sus propuestas, segunda vuelta y estrategia de campaña.",2026-06-19,True,radio,privado,nacional,Cepeda,canonical_signal,EVT-42ab71e811,1,0.793103,0.793103,,,,,not_applicable
S036,2026-06-11,Juez revoca o permite uso de camiseta de Selección por De la Espriella en campaña,Juez revoca o permite uso de camiseta de Selección por De la Espriella en campaña,decision_judicial,Noticias Caracol,https://www.noticiascaracol.com/politica/elecciones-colombia/juez-dice-que-abelardo-de-la-espriella-si-puede-usar-camiseta-de-seleccion-colombia-en-campana-rg10,decision_judicial,De la Espriella,positiva,revocatoria_camiseta,victoria_judicial_campaña,alivio,legalidad,Nacional,0.82,0.88,0.12,prensa_digital|television|radio|whatsapp|facebook,todos,Juez revoca o permite uso de camiseta de Selección por De la Espriella en campaña,2026-06-19,True,television,privado,nacional,De la Espriella,canonical_signal,EVT-71dd30a96f,1,0.589744,0.589744,,,,,not_applicable
S063,2026-06-11,Cepeda denuncia a De la Espriella ante la CPI por presuntos vínculos con grupos paramilitares,El País reporta denuncia de Cepeda ante Fiscalía y CPI por presuntos vínculos de De la Espriella con estructuras paramilitares. Se registra como alegación no probada.,denuncia_judicial,El País,https://elpais.com/america-colombia/elecciones-presidenciales/2026-06-11/ivan-cepeda-denuncia-a-abelardo-de-la-espriella-ante-la-corte-penal-internacional-por-sus-presuntos-vinculos-con-grupos-paramilitares.html,alegacion_no_probada,De la Espriella,negativa,denuncia_paramilitarismo_cpi,seguridad_justicia_transicional,desconfianza,seguridad,Nacional / Territorios de conflicto,0.9,0.76,0.28,prensa_digital|television|radio|twitter_x|facebook|instagram|youtube|whatsapp,victimas_conflicto|campesino_rural|adulto_redes|profesional_urbano,Cepeda eleva denuncia contra De la Espriella por presuntos vínculos paramilitares; no se modela como hecho probado.,2026-06-19,True,otro,no_clasificado,no_clasificado,De la Espriella,canonical_signal,EVT-62f9fb2bce,1,0.638889,0.638889,,,,,not_applicable
S037,2026-06-12,Cepeda contrata estratega digital de Rodolfo Hernández para segunda vuelta,Cepeda contrata estratega digital de Rodolfo Hernández para segunda vuelta,estrategia_digital,El País,https://elpais.com/america-colombia/elecciones-presidenciales/2026-06-12/ivan-cepeda-contrata-a-la-estratega-digital-de-rodolfo-hernandez-para-la-segunda-vuelta.html,hecho_reportado,Cepeda,positiva,giro_digital_cepeda,humanizacion_candidato,curiosidad,imagen_candidato,Digital / Jóvenes / Centro,0.82,0.86,0.16,prensa_digital|television|radio|whatsapp|twitter_x|facebook|instagram|youtube,todos,Cepeda contrata estratega digital de Rodolfo Hernández para segunda vuelta,2026-06-19,True,otro,no_clasificado,no_clasificado,Cepeda,canonical_signal,EVT-98a49ac3fe,1,0.638889,0.638889,,,,,not_applicable
S038,2026-06-12,"Estrategia digital de Cepeda busca mostrarlo más divertido, cercano y viral","Estrategia digital de Cepeda busca mostrarlo más divertido, cercano y viral",cambio_imagen,El País,https://elpais.com/america-colombia/elecciones-presidenciales/2026-06-12/ivan-cepeda-contrata-a-la-estratega-digital-de-rodolfo-hernandez-para-la-segunda-vuelta.html,analisis_periodistico,Cepeda,positiva,cambio_imagen_cepeda,humanizacion_viral,cercania,imagen_candidato,Digital / Jóvenes,0.78,0.84,0.18,prensa_digital|television|radio|whatsapp|twitter_x|facebook|instagram|youtube,todos,"Estrategia digital de Cepeda busca mostrarlo más divertido, cercano y viral",2026-06-19,True,otro,no_clasificado,no_clasificado,Cepeda,canonical_signal,EVT-9c48565007,1,0.638889,0.638889,,,,,not_applicable
S039,2026-06-12,"La Silla actualiza ponderador: De la Espriella 51%, Cepeda 43%","La Silla actualiza ponderador: De la Espriella 51%, Cepeda 43%",ponderador_encuestas,La Silla Vacía,https://www.lasillavacia.com/en-vivo/ponderador-de-encuestas-en-segunda-vuelta-abelardo-51-y-cepeda-43/,ponderador_periodistico,De la Espriella,positiva,ponderador_51_43,momentum_ganador,confianza,efecto_ganador,Nacional,0.84,0.8,0.18,prensa_digital|television|radio|whatsapp|facebook,todos,"La Silla actualiza ponderador: De la Espriella 51%, Cepeda 43%",2026-06-19,True,alternativo_investigativo,independiente,nacional,De la Espriella,canonical_signal,EVT-da6a453777,1,1.642857,1.642857,,,,,not_applicable
S064,2026-06-12,Ministro de Defensa advierte información de inteligencia sobre posibles disturbios después de segunda vuelta,El País reporta que el ministro de Defensa advirtió sobre posibles disturbios posteriores a la elección y activación de PMU de seguridad y ciberseguridad.,alerta_seguridad,El País,https://elpais.com/america-colombia/elecciones-presidenciales/2026-06-12/la-segunda-vuelta-de-las-elecciones-en-colombia.html,declaracion_institucional,AMBOS,mixta,alerta_disturbios_postelectorales,seguridad_electoral,miedo,orden_publico,Nacional / Grandes ciudades,0.86,0.86,0.18,prensa_digital|television|radio|twitter_x|facebook|instagram|youtube|whatsapp,todos,Autoridades advierten riesgo de disturbios después de segunda vuelta y despliegan capacidades de seguridad.,2026-06-19,True,otro,no_clasificado,no_clasificado,AMBOS,canonical_signal,EVT-57b636b975,1,0.638889,0.638889,,,,,not_applicable
S040,2026-06-13,"Cepeda publica plan de gobierno más moderado, sin constituyente y sin paz total","Cepeda publica plan de gobierno más moderado, sin constituyente y sin paz total",plan_gobierno,El País,https://elpais.com/america-colombia/elecciones-presidenciales/2026-06-13/sin-constituyente-y-sin-paz-total-ivan-cepeda-publica-un-plan-de-gobierno-mas-moderado.html,documento_programatico_reportado,Cepeda,positiva,plan_moderado_sin_constituyente,moderacion_centro,confianza,programa_gobierno,Nacional / Centro,0.84,0.88,0.12,prensa_digital|television|radio|whatsapp|facebook,todos,"Cepeda publica plan de gobierno más moderado, sin constituyente y sin paz total",2026-06-19,True,otro,no_clasificado,no_clasificado,Cepeda,canonical_signal,EVT-8cd6916fb3,1,0.638889,0.638889,,,,,not_applicable
S041,2026-06-13,La Silla reporta que Cepeda publicó tarde su plan de gobierno de más de 100 páginas,La Silla reporta que Cepeda publicó tarde su plan de gobierno de más de 100 páginas,plan_gobierno,La Silla Vacía,https://www.lasillavacia.com/en-vivo/a-diez-dias-para-la-segunda-vuelta-cepeda-publica-su-plan-de-gobierno/,hecho_reportado,Cepeda,mixta,plan_tardio_cepeda,replanteamiento_programatico,evaluacion,programa_gobierno,Nacional,0.7,0.84,0.14,prensa_digital|television|radio|whatsapp|facebook,todos,La Silla reporta que Cepeda publicó tarde su plan de gobierno de más de 100 páginas,2026-06-19,True,alternativo_investigativo,independiente,nacional,Cepeda,canonical_signal,EVT-4c9af476ab,1,1.642857,1.642857,,,,,not_applicable
S042,2026-06-13,AtlasIntel mantiene ventaja de De la Espriella y reporta aumento de indecisos/blanco/nulo/no sabe,AtlasIntel mantiene ventaja de De la Espriella y reporta aumento de indecisos/blanco/nulo/no sabe,encuesta_publicada,La Silla Vacía / AtlasIntel,https://www.lasillavacia.com/en-vivo/atlas-intel-de-segunda-vuelta-sigue-ventaja-de-8-puntos-pero-con-mas-indecisos/,encuesta_publicada_por_tercero,AMBOS,mixta,indecisos_suben_encuesta,volatilidad_electoral,incertidumbre,intencion_voto_publicada,Nacional,0.78,0.78,0.2,prensa_digital|television|radio|whatsapp|facebook,todos,AtlasIntel mantiene ventaja de De la Espriella y reporta aumento de indecisos/blanco/nulo/no sabe,2026-06-19,True,alternativo_investigativo,independiente,nacional,AMBOS,canonical_signal,EVT-d5775443b5,1,1.642857,1.642857,,,,,not_applicable
S093,2026-06-14,NTN24 reporta nueva encuesta que da ventaja amplia a De la Espriella en segunda vuelta,NTN24 reporta última encuesta con ventaja de De la Espriella sobre Cepeda antes de la votación.,encuesta_publicada,NTN24,https://www.ntn24.com/noticias-politica/este-seria-el-ganador-de-la-segunda-vuelta-electoral-en-colombia-segun-nueva-encuesta-627162,encuesta_publicada_por_tercero,De la Espriella,positiva,encuesta_ntn24_ventaja_abelardo,momentum_encuestas,confianza,efecto_ganador,Nacional,0.82,0.78,0.2,television|prensa_digital|radio|twitter_x|whatsapp|facebook,todos,NTN24 reporta última encuesta con ventaja de De la Espriella sobre Cepeda antes de la votación.,2026-06-19,True,television,privado,nacional,De la Espriella,canonical_signal,EVT-b66fe83703,1,0.589744,0.589744,,,,,not_applicable
S043,2026-06-15,Cepeda denuncia penalmente a De la Espriella por supuesta participación en saqueo del sistema de salud,Cepeda denuncia penalmente a De la Espriella por supuesta participación en saqueo del sistema de salud,denuncia_judicial,Semana,https://www.semana.com/politica/articulo/ivan-cepeda-denuncia-penalmente-a-abelardo-de-la-espriella-por-supuesta-participacion-en-el-saqueo-del-sistema-de-salud/202658/,alegacion_no_probada,De la Espriella,negativa,denuncia_eps_salud,corrupcion_salud,desconfianza,corrupcion_salud,Nacional / Salud,0.92,0.72,0.3,prensa_digital|television|radio|whatsapp|facebook,todos,Cepeda denuncia penalmente a De la Espriella por supuesta participación en saqueo del sistema de salud,2026-06-19,True,prensa_privada,privado,nacional,De la Espriella,canonical_signal,EVT-ba910483a2,1,0.851852,0.851852,,,,,not_applicable
S044,2026-06-15,Infobae reporta investigación de Supersalud por presuntas irregularidades entre EPS y firma de De la Espriella,Infobae reporta investigación de Supersalud por presuntas irregularidades entre EPS y firma de De la Espriella,investigacion_institucional,Infobae,https://www.infobae.com/colombia/2026/06/15/superintendente-daniel-quintero-inicio-investigacion-por-supuestas-irregularidades-entre-eps-y-firma-de-abelardo-de-la-espriella/,investigacion_en_curso,De la Espriella,negativa,supersalud_eps_firma,control_institucional,sospecha,corrupcion_salud,Nacional / Salud,0.86,0.74,0.28,prensa_digital|television|radio|whatsapp|facebook,todos,Infobae reporta investigación de Supersalud por presuntas irregularidades entre EPS y firma de De la Espriella,2026-06-19,True,prensa_privada,privado,nacional,De la Espriella,canonical_signal,EVT-cd5844512e,1,0.851852,0.851852,,,,,not_applicable
S065,2026-06-15,De la Espriella advierte a jóvenes manifestantes que enfrentarán el peso de la ley si intentan incendiar el país,El País recoge mensaje de De la Espriella a jóvenes manifestantes en un contexto de tensión postelectoral.,mensaje_orden_publico,El País,https://elpais.com/america-colombia/elecciones-presidenciales/2026-06-15/la-segunda-vuelta-de-las-elecciones-en-colombia-en-vivo.html,declaracion_publica,De la Espriella,positiva,mano_dura_protesta,orden_vs_protesta,autoridad,orden_publico,Nacional / Jóvenes / Ciudades,0.84,0.82,0.2,prensa_digital|television|radio|twitter_x|facebook|instagram|youtube|whatsapp,joven_digital|adulto_mayor_offline|pequeno_empresario|adulto_redes,De la Espriella responde al temor de protesta con narrativa de ley y orden.,2026-06-19,True,otro,no_clasificado,no_clasificado,De la Espriella,canonical_signal,EVT-31ce152ff5,1,0.638889,0.638889,,,,,not_applicable
S066,2026-06-15,ELN anuncia cese unilateral de fuego entre el 20 y el 23 de junio por segunda vuelta,AP e Infobae reportan que el ELN anunció cese unilateral de operaciones ofensivas durante la jornada electoral.,seguridad_conflicto,AP / Infobae,https://apnews.com/article/eln-colombia-election-petro-cepeda-espriella-c07c37d22c245141dd8f7c84961ac1de,comunicado_grupo_armado_reportado,AMBOS,mixta,eln_cese_fuego_electoral,seguridad_votacion,incertidumbre,territorio_rural,Territorios con presencia ELN / Nacional,0.82,0.84,0.22,prensa_digital|television|radio|twitter_x|facebook|instagram|youtube|whatsapp,campesino_rural|adulto_mayor_offline|territorios_conflicto,"El ELN anuncia cese unilateral por la segunda vuelta, señal relevante para seguridad territorial y confianza de votantes rurales.",2026-06-19,True,internacional,internacional_privado,internacional,AMBOS,canonical_signal,EVT-042d5dc555,1,1.642857,1.642857,,,,,not_applicable
S106,2026-06-15,Caracol Radio reporta alto el fuego unilateral del ELN para segunda vuelta,"Caracol Radio reportó que el ELN declaró alto el fuego unilateral entre el 20 y el 23 de junio, instruyendo a no realizar operaciones ofensivas contra Fuerza Pública.",radio_nacional_conflicto,Caracol Radio / EFE,https://caracol.com.co/2026/06/15/el-eln-declaro-un-alto-el-fuego-unilateral-para-la-segunda-vuelta-presidencial/,comunicado_grupo_armado_reportado,AMBOS,mixta,eln_alto_fuego_caracol,seguridad_votacion_rural,incertidumbre,territorio_rural,Territorios ELN / Rural / Frontera,0.84,0.86,0.18,radio_local|radio_regional|radio_nacional|prensa_digital|whatsapp|facebook|television_regional,campesino_rural|soldado|territorios_conflicto|adulto_mayor_offline|transportador,"Caracol Radio reportó que el ELN declaró alto el fuego unilateral entre el 20 y el 23 de junio, instruyendo a no realizar operaciones ofensivas contra Fuerza Pública.",2026-06-19,True,radio,privado,nacional,AMBOS,canonical_signal,EVT-a10877e13f,1,0.793103,0.793103,,,,,not_applicable
S045,2026-06-16,De la Espriella responde a denuncia de Cepeda por supuesto saqueo en salud,De la Espriella responde a denuncia de Cepeda por supuesto saqueo en salud,respuesta_campana,Infobae,https://www.infobae.com/colombia/2026/06/16/abelardo-de-la-espriella-respondio-a-la-denuncia-de-ivan-cepeda-por-supuesto-saqueo-en-el-sistema-de-salud-denuncie-a-miembros-del-gobierno/,declaracion_publica,De la Espriella,positiva,respuesta_denuncia_eps,contraataque,indignacion,corrupcion_salud,Nacional / Digital,0.78,0.66,0.3,prensa_digital|television|radio|whatsapp|twitter_x|facebook|instagram|youtube,todos,De la Espriella responde a denuncia de Cepeda por supuesto saqueo en salud,2026-06-19,True,prensa_privada,privado,nacional,De la Espriella,canonical_signal,EVT-8c591163c3,1,0.851852,0.851852,,,,,not_applicable
S046,2026-06-16,El País reporta que la campaña pasa por los estrados,El País reporta que la campaña pasa por los estrados,judicializacion_campana,El País,https://elpais.com/america-colombia/elecciones-presidenciales/2026-06-16/la-campana-pasa-por-los-estrados.html,analisis_periodistico,AMBOS,mixta,campaña_judicializada,estrados_judiciales,cansancio,polarizacion,Nacional,0.82,0.84,0.2,prensa_digital|television|radio|whatsapp|facebook,todos,El País reporta que la campaña pasa por los estrados,2026-06-19,True,otro,no_clasificado,no_clasificado,AMBOS,canonical_signal,EVT-187824ed1e,1,0.638889,0.638889,,,,,not_applicable
S047,2026-06-16,El País contrasta megacárceles de De la Espriella con paz integral de Cepeda,El País contrasta megacárceles de De la Espriella con paz integral de Cepeda,contraste_programatico,El País,https://elpais.com/america-colombia/elecciones-presidenciales/2026-06-16/megacarceles-o-paz-integral-de-la-espriella-y-cepeda-chocan-con-visiones-opuestas-en-seguridad.html,analisis_programatico,AMBOS,contraste,megacarceles_vs_paz_integral,seguridad_vs_paz,evaluacion,seguridad,Nacional / Territorio rural,0.86,0.88,0.14,prensa_digital|television|radio|whatsapp|facebook,todos,El País contrasta megacárceles de De la Espriella con paz integral de Cepeda,2026-06-19,True,otro,no_clasificado,no_clasificado,AMBOS,canonical_signal,EVT-614f9ec1e3,1,0.638889,0.638889,,,,,not_applicable
S048,2026-06-16,El País contrasta política exterior: multilateralismo de Cepeda vs alineamiento de De la Espriella con Trump,El País contrasta política exterior: multilateralismo de Cepeda vs alineamiento de De la Espriella con Trump,contraste_programatico,El País,https://elpais.com/america-colombia/elecciones-presidenciales/2026-06-16/dos-visiones-antagonicas-de-la-politica-exterior-el-otro-campo-de-batalla-entre-cepeda-y-de-la-espriella.html,analisis_programatico,AMBOS,contraste,politica_exterior_trump_multilateralismo,relaciones_internacionales,evaluacion,politica_exterior,Nacional / Exterior,0.74,0.86,0.14,prensa_digital|television|radio|whatsapp|facebook,todos,El País contrasta política exterior: multilateralismo de Cepeda vs alineamiento de De la Espriella con Trump,2026-06-19,True,otro,no_clasificado,no_clasificado,AMBOS,canonical_signal,EVT-b62fde6680,1,0.638889,0.638889,,,,,not_applicable
S049,2026-06-16,Noticias RCN transmite streaming final con Iván Cepeda antes de la segunda vuelta,Noticias RCN transmite streaming final con Iván Cepeda antes de la segunda vuelta,entrevista_programatica,Noticias RCN,https://www.noticiasrcn.com/colombia/streaming-final-con-ivan-cepeda-en-noticias-rcn-1030951,entrevista_candidato,Cepeda,positiva,streaming_final_cepeda_rcn,propuestas_estrategia,evaluacion,programa_gobierno,Nacional / Medios,0.74,0.84,0.12,prensa_digital|television|radio|whatsapp|facebook,todos,Noticias RCN transmite streaming final con Iván Cepeda antes de la segunda vuelta,2026-06-19,True,television,privado,nacional,Cepeda,canonical_signal,EVT-771cba1df4,1,0.589744,0.589744,,,,,not_applicable
S067,2026-06-16,Carlos Carrillo genera polémica en entrevista con Eva Rey por advertir que el país se va a incendiar si pierde Cepeda,"Infobae y Semana reportan la polémica por declaraciones de Carlos Carrillo en entrevista con Eva Rey. Se registra como declaración polémica reportada, no como amenaza judicialmente establecida.",declaracion_polemica,Infobae / Semana,https://www.infobae.com/colombia/2026/06/16/carlos-carrillo-habria-advertido-que-incendiarian-el-pais-si-ivan-cepeda-pierde-en-segunda-vuelta-presidencial-indudablemente/,declaracion_polemica_reportada,Cepeda,negativa,incendio_social_carrillo,convulsion_social,miedo,orden_publico,Nacional / Digital,0.88,0.76,0.3,prensa_digital|television|radio|twitter_x|facebook|instagram|youtube|whatsapp,todos,Declaraciones de Carrillo son interpretadas como advertencia de convulsión social si Cepeda pierde.,2026-06-19,True,prensa_privada,privado,nacional,Cepeda,canonical_signal,EVT-81d6c55359,1,0.851852,0.851852,,,,,not_applicable
S068,2026-06-16,Semana reporta rechazo de sectores políticos a la advertencia de Carrillo sobre posible incendio social,Semana reporta reacción política frente a las declaraciones de Carrillo sobre posible incendio social.,reaccion_politica,Semana,https://www.semana.com/politica/articulo/indudablemente-el-pais-se-va-a-incendiar-polemica-advertencia-del-exdirector-de-ungrd-hoy-en-la-campana-de-ivan-cepeda-si-la-izquierda-pierde-las-elecciones/202628/,reaccion_politica_reportada,Cepeda,negativa,rechazo_declaracion_carrillo,estrategia_miedo,rechazo,polarizacion,Nacional / Digital,0.76,0.76,0.26,prensa_digital|television|radio|twitter_x|facebook|instagram|youtube|whatsapp,adulto_redes|pequeno_empresario|profesional_urbano|adulto_mayor_offline,La reacción a Carrillo puede activar rechazo a la campaña de Cepeda o miedo a desorden postelectoral.,2026-06-19,True,prensa_privada,privado,nacional,Cepeda,canonical_signal,EVT-ac7b1d2159,1,0.851852,0.851852,,,,,not_applicable
